,id,participant.code,participant.time_started_utc,player.treatment,player.sReward,player.iTrialDec,player.iDec,player.iDec2,player.EmotionalStatus,player.sTag1,player.sTag2,player.sTag3,tag.effort,player.iLikes,player.iDislikes,player.dRTDec1,player.dRTFeed,player.dRTPost,player.dRTTags,player.dRTFeedback,player.dRTEmotionalStatus,Totaltrial,LATENCY,subsession.round_number,session.code
3920,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,HR,See,2.0,,,,,,,,,9534,28066.0,,,,,37600,,1,3nhoib2j
3921,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,HR,See,1.0,,,,,,,,,2614,6074.0,,,,,8688,,2,3nhoib2j
3922,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,HR,See,2.0,,,,,,,,,1782,17047.0,,,,,18829,,3,3nhoib2j
3923,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,HR,See,1.0,,,,,,,,,2496,9823.0,,,,,12319,,4,3nhoib2j
3924,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,HR,Post,,60.0,66.0,historymeme,,,,31.0,9.0,4065,,81345.0,20673.0,8961.0,40081.0,155125,,5,3nhoib2j
3925,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,HR,See,2.0,,,,,,,,,4600,9235.0,,,,,13835,,6,3nhoib2j
3926,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,HR,See,1.0,,,,,,,,,1700,12899.0,,,,,14599,,7,3nhoib2j
3927,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,HR,See,1.0,,,,,,,,,1274,23536.0,,,,,24810,,8,3nhoib2j
3928,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,HR,Post,,8.0,65.0,introverts,,,,29.0,11.0,1860,,40907.0,77398.0,3275.0,17198.0,140638,,9,3nhoib2j
3929,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,HR,See,1.0,,,,,,,,,3630,32255.0,,,,,35885,,10,3nhoib2j
3930,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,HR,See,2.0,,,,,,,,,1947,9315.0,,,,,11262,,11,3nhoib2j
3931,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,HR,See,1.0,,,,,,,,,1394,13144.0,,,,,14538,,12,3nhoib2j
3932,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,HR,See,2.0,,,,,,,,,2272,4526.0,,,,,6798,,13,3nhoib2j
3933,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,HR,Post,,45.0,64.0,,,,,28.0,12.0,1319,,56798.0,2804.0,1935.0,8553.0,71409,,14,3nhoib2j
3934,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,HR,See,2.0,,,,,,,,,45997,2349.0,,,,,48346,,15,3nhoib2j
3935,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,HR,Post,,51.0,64.0,,,,,28.0,12.0,1197,,61932.0,2007.0,2083.0,7115.0,74334,,16,3nhoib2j
3936,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,HR,See,2.0,,,,,,,,,2206,6371.0,,,,,8577,,17,3nhoib2j
3937,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,HR,See,2.0,,,,,,,,,1606,41367.0,,,,,42973,,18,3nhoib2j
3938,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,HR,See,2.0,,,,,,,,,1152,9740.0,,,,,10892,,19,3nhoib2j
3939,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,HR,See,2.0,,,,,,,,,1058,6690.0,,,,,7748,,20,3nhoib2j
3940,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,LR,See,1.0,,,,,,,,,1035,12014.0,,,,,13049,,21,3nhoib2j
3941,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,LR,Post,,158.0,64.0,,,,,15.0,25.0,1277,,73789.0,2050.0,1734.0,6802.0,85652,,22,3nhoib2j
3942,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,LR,See,2.0,,,,,,,,,2192,6785.0,,,,,8977,,23,3nhoib2j
3943,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,LR,See,1.0,,,,,,,,,36878,9725.0,,,,,46603,,24,3nhoib2j
3944,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,LR,See,1.0,,,,,,,,,1273,13018.0,,,,,14291,,25,3nhoib2j
3945,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,LR,See,1.0,,,,,,,,,845,4387.0,,,,,5232,,26,3nhoib2j
3946,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,LR,Post,,112.0,63.0,,,,,15.0,25.0,1039,,59616.0,2296.0,2167.0,11793.0,76911,,27,3nhoib2j
3947,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,LR,See,1.0,,,,,,,,,10743,14558.0,,,,,25301,,28,3nhoib2j
3948,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,LR,See,2.0,,,,,,,,,1551,16452.0,,,,,18003,,29,3nhoib2j
3949,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,LR,See,2.0,,,,,,,,,1023,6144.0,,,,,7167,,30,3nhoib2j
3950,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,LR,Post,,130.0,63.0,,,,,22.0,18.0,1037,,38272.0,1816.0,6084.0,5448.0,52657,,31,3nhoib2j
3951,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,LR,See,1.0,,,,,,,,,203758,14434.0,,,,,218192,,32,3nhoib2j
3952,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,LR,See,1.0,,,,,,,,,1026,20113.0,,,,,21139,,33,3nhoib2j
3953,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,LR,See,1.0,,,,,,,,,861,7230.0,,,,,8091,,34,3nhoib2j
3954,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,LR,Post,,148.0,64.0,,,,,22.0,18.0,1024,,22786.0,1539.0,1467.0,6541.0,33357,,35,3nhoib2j
3955,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,LR,Post,,136.0,64.0,,,,,18.0,22.0,1766,,36291.0,1651.0,940.0,3934.0,44582,,36,3nhoib2j
3956,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,LR,See,1.0,,,,,,,,,3019,10373.0,,,,,13392,,37,3nhoib2j
3957,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,LR,See,1.0,,,,,,,,,1528,4901.0,,,,,6429,,38,3nhoib2j
3958,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,LR,See,1.0,,,,,,,,,838,3728.0,,,,,4566,,39,3nhoib2j
3959,351,zl7dnmvz,2021-06-15 08:48:15.945831,Control,LR,See,2.0,,,,,,,,,823,7617.0,,,,,8440,,40,3nhoib2j
